month,total_revenue,total_orders
"September - 2016",143.46,1
"October - 2016",46490.66,265
"December - 2016",19.62,1
"January - 2017",127482.37,750
"February - 2017",271239.32,1653
"March - 2017",414330.95,2546
"April - 2017",390812.4,2303
"May - 2017",566657.4,3545
"June - 2017",490050.37,3135
"July - 2017",566299.08,3872
"August - 2017",645832.36,4193
"September - 2017",701077.49,4150
"October - 2017",751117.01,4478
"November - 2017",1153229.37,7288
"December - 2017",843078.29,5513
"January - 2018",1077887.46,7069
"February - 2018",966168.41,6555
"March - 2018",1120598.24,7003
"April - 2018",1132878.93,6798
"May - 2018",1128774.52,6749
"June - 2018",1011448.96,6096
"July - 2018",1027286.52,6156
"August - 2018",985491.64,6351
